username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Harlo 🪟☀️☮️,1267236543338385409,San Francisco,2023-01-18 06:26:53,"@mayorseidel i support TOD social housing everywhere, oppose private TOD it when its contributing to displacement,… https://t.co/WRg85Pkip0",0,Twitter Web App,
Harlo 🪟☀️☮️,1267236543338385409,San Francisco,2023-01-18 06:17:19,@mayorseidel there is some evidence TOD leads to gentrification in general https://t.co/hID3mHdONB,0,Twitter Web App,
Harlo 🪟☀️☮️,1267236543338385409,San Francisco,2023-01-18 06:05:49,@mayorseidel unfortunately the issue with private TOD is that it can lead to gentrification https://t.co/EOr5rX1grF,0,Twitter Web App,
Reid Chalker,3302762347,"San Francisco, CA",2023-01-18 03:24:41,@HousingSpock @profmusgrave You think people who are against gentrification are doing it because of “neighborhood c… https://t.co/WCaNZNof4o,0,Twitter for iPhone,
NIMBY Patrol,1381018115920732161,"San Francisco, CA",2023-01-17 00:39:32,Air fryers are among the best tools from the point of view of fighting gentrification. Remodeling apartments to add… https://t.co/XBib08qBFa,3,Twitter for Android,
Pia Fantastic🏳️‍⚧️(she/they),1522446533433593856,"San Francisco, CA",2023-01-16 22:22:50,-this gentrification doesn’t just entrench certain parts of the city as being for the rich and their servants- but… https://t.co/y1uoV1pNSp,0,Twitter Web App,
Pia Fantastic🏳️‍⚧️(she/they),1522446533433593856,"San Francisco, CA",2023-01-16 22:14:03,"- this segregation hasn’t gotten better with time, in fact it has gotten worse as the forces of gentrification have… https://t.co/78tmjyP8ng",0,Twitter Web App,
Pia Fantastic🏳️‍⚧️(she/they),1522446533433593856,"San Francisco, CA",2023-01-16 22:08:20,one thing people like to ignore here in SF is the defacto segregation present- most notably from north to south of… https://t.co/A7S1Mkdu94,0,Twitter Web App,
BRUTUS IN THAT BOOTH,942147973911162880,"San Francisco, CA",2023-01-16 13:12:29,Environmentalists who live in walkable—and often expensive—cities forget that not everyone can afford to live in a… https://t.co/wOXmrbitZU,0,Twitter for iPhone,
Toño  DeLaCity,45082792,Frisco,2023-01-16 08:58:53,@ofmb_dk &amp; the original 415 Day was a protest call to action against gentrification but they haven't really done an… https://t.co/AoYDKQlT4P,1,Twitter for Android,
Seraphina,1521206071536152576,"San Francisco, CA",2023-01-15 20:22:01,@DanieleCreole Sorry - from what I can tell crime and violence is skyrocketing in New Orleans. Is that the gentrifi… https://t.co/q4hwawK2hv,0,Twitter for iPhone,
Mr MR,84051890,"San Francisco, CA",2023-01-15 17:37:12,@mayavada I see your Pawn Shop and raise you Job Centre (from the London area where I used to live): https://t.co/mj5Q4suX6a,0,Twitter for iPhone,
ChooChoo Trains (Parody) 🇺🇦,1230234187128401920,"San Francisco, CA",2023-01-14 18:13:50,"Once again, these people genuinely believe gentrification did not exist before 2010 https://t.co/tcj3OE63fr",0,Twitter Web App,
Joe Klinker,1651657646,Bernal Heights,2023-01-14 06:54:35,Book 1: When No One Was Watching by @AlyssaColeLit — thrilling novel that marries tough subjects like racism and ge… https://t.co/PP8tNtcc8Q,0,Twitter for iPhone,
"if u disagree w me, ur islamophobic",753303792934723584,"San Francisco, CA",2023-01-14 04:04:52,@marvistavoice @PplsCityCouncil the community of venice has been pushed out of venice actually because of gentrific… https://t.co/OnaFUQSdDa,1,Twitter for iPhone,
BikingMzStacey❤️‍🔥🚲🌁,807734012311502849,SanFranCarGo,2023-01-14 02:29:04,"@lmc List of words that should be banned from the lexicon here:
• equity
• gentrification
• progressive
• housing a… https://t.co/mchfJZiY2G",0,Twitter for iPhone,
Armand Domalewski,25913049,"San Francisco, CA",2023-01-13 23:51:20,"the playbook for Democratic Mayors is increasingly becoming:

a) pander to NIMBY homeowners while maintaining your… https://t.co/ZDgU5oJtuL",52,Twitter for iPhone,
mazeks,1592353976,"San Francisco, CA",2023-01-13 22:42:34,The early 90’s was a time of transition for the the historically gay Castro district - the beginnings of gentrifica… https://t.co/6Gd5XL3SjC,0,Twitter for iPhone,
Lisa Stoddart,991524098,"San Francisco, CA",2023-01-13 18:15:33,Climate Gentrification Is Coming to Hurricane-Wrecked Florida https://t.co/mkLljQEhPk,0,IFTTT,
Harlo 🪟☀️☮️,1267236543338385409,San Francisco,2023-01-13 07:42:40,@revhowardarson just not sure what it has to do with degrowth as such. I support anti gentrification and community… https://t.co/KacA9t5Ixd,0,Twitter Web App,
Chris Elmendorf,53256034,San Francisco,2023-01-13 06:48:36,"No one mentioned the new oil company CEQA suit against LA, or how the tentative's gentrification impacts theory thr… https://t.co/HSQuF1Sl8l",0,Twitter Web App,
Chris Elmendorf,53256034,San Francisco,2023-01-13 06:48:36,"As to the other big issue in the case--""gentrification impacts analysis""--there was much less discussion. 

I think… https://t.co/DaUIbBQYjd",0,Twitter Web App,
Chris Elmendorf,53256034,San Francisco,2023-01-13 06:48:34,"a really big (indirect) effect in order to trigger an EIR. 

Burns mused that maybe the tentative was wrong on ""gen… https://t.co/pMQD5jwyDu",0,Twitter Web App,
Chris Elmendorf,53256034,San Francisco,2023-01-13 06:48:26,"🧵 Some thoughts on today's oral argument in Berkeley ""students are pollution"" CEQA case. 

tl,dr: The justices thin… https://t.co/o29JRS4roM",9,Twitter Web App,
m,16320407,"San Francisco, CA",2023-01-12 23:25:09,"@PierreDelect The property/land acquisition cost is relatively low in these gentrification projects.

That's why th… https://t.co/ZQRCLUulPg",0,Twitter Web App,
m,16320407,"San Francisco, CA",2023-01-12 22:41:16,"@uhshanti @matrixgoth It's amazing how little they have changed since that ""gentrification is revaluation"" one in 2… https://t.co/wpe7E6ll2X",2,Twitter Web App,
Chris Elmendorf,53256034,San Francisco,2023-01-12 22:30:21,You can be sure this oil company--using CEQA to challenge LA's drilling ban--is chomping at bit for final opinion i… https://t.co/NKbme0Qz1d,3,Twitter Web App,
Noah Sloss 🪟,20785617,San Francisco,2023-01-12 21:26:09,@peternsunnyvale @dillonliam @KarenBassLA Her suggestion is clear: don’t build new market rate in gentrifying neigh… https://t.co/utW1T0eZ8E,0,Twitter for iPhone,
car bad,1431081867885772800,San Francisco,2023-01-12 19:44:49,"@TheOmniZaddy “Building new homes causes gentrification, which is bad, which is good, which is also bad” is what I’m reading",0,Twitter Web App,
Armand Domalewski,25913049,"San Francisco, CA",2023-01-12 17:34:12,"New housing, even at market rate, does reduce displacement and gentrification

https://t.co/kK4XonKiE6 https://t.co/HGVCWzo8W0",24,Twitter for iPhone,
Armand Domalewski,25913049,"San Francisco, CA",2023-01-12 16:55:50,"It’s incredibly depressing to see @KarenBassLA, LA’s next Mayor,  say it is untrue that construction of new market… https://t.co/d6juPoqtWX",26,Twitter for iPhone,
Yoshi pink flower,2226507729,"San Francisco, CA",2023-01-12 16:33:02,@ThisIsSparta70 @RealTimeNews10 @klein_ipt Feeling extra safe due to the gentrification,0,Twitter for iPhone,
Donald F. Robertson,146647465,"San Francisco, CA",2023-01-12 05:04:58,"@roymeo @RichardManso3 @SFCPA @MrTyWebb1 Perkin's office is too busy fighting housing construction and ""gentrificat… https://t.co/Wfe7NWys2R",0,Twitter for iPhone,
LYRESE GIBSON 🍄🚌🧃,454410464,"San Francisco, CA",2023-01-12 01:08:46,If he didn’t before he fasho not fucking with us now.. an we questioning gentrification 🤦🏿‍♂️🤯 https://t.co/zfsSg8AIHs,1,Twitter for iPhone,
Keanu Sleeves,1274911824010342402,,2023-01-11 23:52:29,"@flaviusvalens1 This symbol, and it became like the flag of gentrification here in SF. Essentially it’s the irl equ… https://t.co/IbeR6mZOpp",0,Twitter for iPhone,
ACAB,959641332133367808,"San Francisco, CA",2023-01-11 05:11:51,@hashmi7a Final stage of the LES gentrification 😔,0,Twitter for iPhone,
Kars4Kids Hate Account,2365215858,"San Francisco, CA",2023-01-11 04:17:02,I think I recognized Karl the fog as a sign of gentrification before I knew what gentrification was https://t.co/P6dlbEaLWg,0,Twitter for iPhone,
Max Dubler 🏳️‍🌈,950101243,"San Francisco, CA",2023-01-11 03:09:04,@LenniBug We must protect our vital community-serving small businesses (the rest stop McDonald’s) from gentrificati… https://t.co/G9DYCUIKND,2,Twitter for iPhone,
